Short Title,Title,issn,eISSN,Funding (TL),Year,Impact Factor,SCI,SSCI,AHCI,Source
IEEE T CONTR SYST T,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1063-6536,1558-0865,37000,2025,1.596,TRUE,FALSE,FALSE,
DIVERS DISTRIB,DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642,37000,2025,1.596,TRUE,FALSE,FALSE,
CLIN EPIGENETICS,Clinical Epigenetics,1868-7075,1868-7083,37000,2025,1.595,TRUE,FALSE,FALSE,
SIAM J APPL ALGEBR G,SIAM Journal on Applied Algebra and Geometry,2470-6566,2470-6566,37000,2025,1.594,TRUE,FALSE,FALSE,
CONTRIB MINERAL PETR,CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,0010-7999,1432-0967,37000,2025,1.594,TRUE,FALSE,FALSE,
AM J SURG PATHOL,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,0147-5185,1532-0979,37000,2025,1.593,TRUE,FALSE,FALSE,
AM J OBST GYNEC MFM,American Journal of Obstetrics & Gynecology MFM,2589-9333,2589-9333,37000,2025,1.593,TRUE,FALSE,FALSE,
CURR OPIN COLLOID IN,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,1359-0294,1879-0399,37000,2025,1.592,TRUE,FALSE,FALSE,
MATH ANN,MATHEMATISCHE ANNALEN,0025-5831,1432-1807,37000,2025,1.592,TRUE,FALSE,FALSE,
SEL MATH-NEW SER,Selecta Mathematica-New Series,1022-1824,1420-9020,37000,2025,1.592,TRUE,FALSE,FALSE,
TRAVEL MED INFECT DI,Travel Medicine and Infectious Disease,1477-8939,1873-0442,37000,2025,1.591,TRUE,FALSE,FALSE,
IEEE T MOBILE COMPUT,IEEE TRANSACTIONS ON MOBILE COMPUTING,1536-1233,1558-0660,37000,2025,1.591,TRUE,FALSE,FALSE,
J CLEAN PROD,Journal of Cleaner Production,0959-6526,1879-1786,37000,2025,1.59,TRUE,FALSE,FALSE,
ELECT STUD,ELECTORAL STUDIES,0261-3794,1873-6890,37000,2025,1.589,FALSE,TRUE,FALSE,
PUBLIC MANAG REV,Public Management Review,1471-9037,1471-9045,37000,2025,1.589,FALSE,TRUE,FALSE,
J RISK UNCERTAINTY,JOURNAL OF RISK AND UNCERTAINTY,0895-5646,1573-0476,37000,2025,1.588,FALSE,TRUE,FALSE,
TRANSPORT RES A-POL,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,0965-8564,1879-2375,37000,2025,1.588,TRUE,TRUE,FALSE,
NUMER MATH,NUMERISCHE MATHEMATIK,0029-599X,0945-3245,37000,2025,1.587,TRUE,FALSE,FALSE,
NEPHROL DIAL TRANSPL,NEPHROLOGY DIALYSIS TRANSPLANTATION,0931-0509,1460-2385,37000,2025,1.587,TRUE,FALSE,FALSE,
MULT SCLER J,Multiple Sclerosis Journal,1352-4585,1477-0970,37000,2025,1.587,TRUE,FALSE,FALSE,
BEST PRACT RES CL RH,BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,1521-6942,1521-1770,37000,2025,1.586,TRUE,FALSE,FALSE,
SPORTS MED-OPEN,Sports Medicine-Open,2199-1170,2198-9761,37000,2025,1.586,TRUE,FALSE,FALSE,
DIABETES RES CLIN PR,DIABETES RESEARCH AND CLINICAL PRACTICE,0168-8227,1872-8227,37000,2025,1.586,TRUE,FALSE,FALSE,
ASTERISQUE,ASTERISQUE,0303-1179,2492-5926,37000,2025,1.586,TRUE,FALSE,FALSE,
CRIT REV BIOTECHNOL,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1549-7801,37000,2025,1.586,TRUE,FALSE,FALSE,
AMBIO,AMBIO,0044-7447,1654-7209,37000,2025,1.585,TRUE,FALSE,FALSE,
ECOL ECON,ECOLOGICAL ECONOMICS,0921-8009,1873-6106,37000,2025,1.585,TRUE,TRUE,FALSE,
HYDROL EARTH SYST SC,HYDROLOGY AND EARTH SYSTEM SCIENCES,1027-5606,1607-7938,37000,2025,1.585,TRUE,FALSE,FALSE,
LANG LEARN TECHNOL,LANGUAGE LEARNING & TECHNOLOGY,1094-3501,N/A,37000,2025,1.585,FALSE,TRUE,FALSE,
COMMUN CHEM,Communications Chemistry,2399-3669,2399-3669,37000,2025,1.585,TRUE,FALSE,FALSE,
J ECON INEQUAL,Journal of Economic Inequality,1569-1721,1573-8701,37000,2025,1.584,FALSE,TRUE,FALSE,
ATMOS CHEM PHYS,ATMOSPHERIC CHEMISTRY AND PHYSICS,1680-7316,1680-7324,37000,2025,1.584,TRUE,FALSE,FALSE,
OMEGA-INT J MANAGE S,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,37000,2025,1.584,TRUE,TRUE,FALSE,
MUTAT RES-REV MUTAT,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139,37000,2025,1.583,TRUE,FALSE,FALSE,
ACS SENSORS,ACS Sensors,2379-3694,2379-3694,37000,2025,1.583,TRUE,FALSE,FALSE,
BRIT J PSYCHOL,BRITISH JOURNAL OF PSYCHOLOGY,0007-1269,2044-8295,37000,2025,1.581,FALSE,TRUE,FALSE,
SOCIOLOGY,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,0038-0385,1469-8684,37000,2025,1.58,FALSE,TRUE,FALSE,
SECUR DIALOGUE,SECURITY DIALOGUE,0967-0106,1460-3640,37000,2025,1.58,FALSE,TRUE,FALSE,
IEEE ROBOT AUTOM MAG,IEEE ROBOTICS & AUTOMATION MAGAZINE,1070-9932,1558-223X,37000,2025,1.58,TRUE,FALSE,FALSE,
AM J OPHTHALMOL,AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394,1879-1891,37000,2025,1.579,TRUE,FALSE,FALSE,
ECOL APPL,ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,37000,2025,1.578,TRUE,FALSE,FALSE,
ACS APPL MATER INTER,ACS Applied Materials & Interfaces,1944-8244,1944-8252,37000,2025,1.578,TRUE,FALSE,FALSE,
CHILD ADOL MENT H-UK,Child and Adolescent Mental Health,1475-357X,1475-3588,37000,2025,1.577,TRUE,TRUE,FALSE,
DECIS SUPPORT SYST,DECISION SUPPORT SYSTEMS,0167-9236,1873-5797,37000,2025,1.577,TRUE,FALSE,FALSE,
INT MIGR REV,INTERNATIONAL MIGRATION REVIEW,0197-9183,1747-7379,37000,2025,1.577,FALSE,TRUE,FALSE,
AM J AGR ECON,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,37000,2025,1.575,TRUE,TRUE,FALSE,
INT J ROCK MECH MIN,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1365-1609,1873-4545,37000,2025,1.575,TRUE,FALSE,FALSE,
QJM-INT J MED,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,1460-2393,37000,2025,1.573,TRUE,FALSE,FALSE,
SUSTAIN CITIES SOC,Sustainable Cities and Society,2210-6707,2210-6715,37000,2025,1.573,TRUE,FALSE,FALSE,
SEX ROLES,SEX ROLES,0360-0025,1573-2762,37000,2025,1.573,FALSE,TRUE,FALSE,
BIOSENS BIOELECTRON,BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235,37000,2025,1.573,TRUE,FALSE,FALSE,
PHILOS ISSUES,Philosophical Issues,1533-6077,1758-2237,37000,2025,1.572,FALSE,FALSE,TRUE,
MECH SYST SIGNAL PR,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0888-3270,1096-1216,37000,2025,1.571,TRUE,FALSE,FALSE,
ENDOCR PATHOL,ENDOCRINE PATHOLOGY,1046-3976,1559-0097,37000,2025,1.571,TRUE,FALSE,FALSE,
EUR J HUM GENET,EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,1476-5438,37000,2025,1.57,TRUE,FALSE,FALSE,
BRIT J MANAGE,BRITISH JOURNAL OF MANAGEMENT,1045-3172,1467-8551,37000,2025,1.57,FALSE,TRUE,FALSE,
SOC COGN AFFECT NEUR,Social Cognitive and Affective Neuroscience,1749-5016,1749-5024,37000,2025,1.57,TRUE,TRUE,FALSE,
MICROSYST NANOENG,Microsystems & Nanoengineering,2055-7434,2055-7434,37000,2025,1.57,TRUE,FALSE,FALSE,
TOURISM GEOGR,Tourism Geographies,1461-6688,1470-1340,37000,2025,1.569,FALSE,TRUE,FALSE,
CLIN TRIALS,Clinical Trials,1740-7745,1740-7753,37000,2025,1.569,TRUE,FALSE,FALSE,
THEOR PRACT,THEORY INTO PRACTICE,0040-5841,1543-0421,37000,2025,1.568,FALSE,TRUE,FALSE,
CRIT REV PLANT SCI,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1549-7836,37000,2025,1.568,TRUE,FALSE,FALSE,
HEPATOBIL SURG NUTR,Hepatobiliary Surgery and Nutrition,2304-3881,2304-389X,37000,2025,1.567,TRUE,FALSE,FALSE,
TELEV NEW MEDIA,Television & New Media,1527-4764,1552-8316,37000,2025,1.566,FALSE,TRUE,TRUE,
J MANAGE INQUIRY,JOURNAL OF MANAGEMENT INQUIRY,1056-4926,1552-6542,37000,2025,1.566,FALSE,TRUE,FALSE,
CURR OPIN NEUROL,CURRENT OPINION IN NEUROLOGY,1350-7540,1473-6551,37000,2025,1.565,TRUE,FALSE,FALSE,
SKELET MUSCLE,Skeletal Muscle,2044-5040,2044-5040,37000,2025,1.565,TRUE,FALSE,FALSE,
ONCOGENESIS,Oncogenesis,2157-9024,2157-9024,37000,2025,1.564,TRUE,FALSE,FALSE,
ENDOCRIN METAB CLIN,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,0889-8529,1558-4410,37000,2025,1.564,TRUE,FALSE,FALSE,
BIOGEOSCIENCES,Biogeosciences,1726-4170,1726-4189,37000,2025,1.563,TRUE,FALSE,FALSE,
FORUM MATH SIGMA,Forum of Mathematics Sigma,,2050-5094,37000,2025,1.563,TRUE,FALSE,FALSE,
PEDIATR DIABETES,PEDIATRIC DIABETES,1399-543X,1399-5448,37000,2025,1.562,TRUE,FALSE,FALSE,
RNA BIOL,RNA Biology,1547-6286,1555-8584,37000,2025,1.562,TRUE,FALSE,FALSE,
J AM MED DIR ASSOC,Journal of the American Medical Directors Association,1525-8610,1538-9375,37000,2025,1.561,TRUE,FALSE,FALSE,
MICH LAW REV,MICHIGAN LAW REVIEW,0026-2234,1939-8557,37000,2025,1.56,FALSE,TRUE,FALSE,
MOL THER NUCL ACIDS,Molecular Therapy Nucleic Acids,2162-2531,2162-2531,37000,2025,1.559,TRUE,FALSE,FALSE,
GERONTOLOGIST,GERONTOLOGIST,0016-9013,1758-5341,37000,2025,1.558,FALSE,TRUE,FALSE,
LABOUR ECON,LABOUR ECONOMICS,0927-5371,1879-1034,37000,2025,1.558,FALSE,TRUE,FALSE,
EXPERT OPIN THER TAR,EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,1744-7631,37000,2025,1.557,TRUE,FALSE,FALSE,
CURR OPIN ELECTROCHE,Current Opinion in Electrochemistry,2451-9103,2451-9103,37000,2025,1.557,TRUE,FALSE,FALSE,
VA LAW REV,VIRGINIA LAW REVIEW,0042-6601,0042-6601,37000,2025,1.556,FALSE,TRUE,FALSE,
SIGNS,SIGNS,0097-9740,1545-6943,37000,2025,1.555,FALSE,TRUE,FALSE,
SOCIOL RELIG,SOCIOLOGY OF RELIGION,1069-4404,1759-8818,37000,2025,1.555,FALSE,TRUE,TRUE,
GEN HOSP PSYCHIAT,GENERAL HOSPITAL PSYCHIATRY,0163-8343,1873-7714,37000,2025,1.554,TRUE,TRUE,FALSE,
ADV ATMOS SCI,ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1861-9533,37000,2025,1.554,TRUE,FALSE,FALSE,
TISSUE ENG PART B-RE,Tissue Engineering Part B-Reviews,1937-3368,1937-3376,37000,2025,1.554,TRUE,FALSE,FALSE,
CURR POLLUT REP,Current Pollution Reports,2198-6592,2198-6592,37000,2025,1.554,TRUE,FALSE,FALSE,
LIFE SCI ALLIANCE,Life Science Alliance,,2575-1077,37000,2025,1.554,TRUE,FALSE,FALSE,
AGGRESS VIOLENT BEH,AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,1873-6335,37000,2025,1.551,FALSE,TRUE,FALSE,
MILLENNIUM-J INT ST,MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,0305-8298,1477-9021,37000,2025,1.551,FALSE,TRUE,FALSE,
SUSTAIN SCI,Sustainability Science,1862-4065,1862-4057,37000,2025,1.549,TRUE,FALSE,FALSE,
SOCIOL COMPASS,Sociology Compass,1751-9020,1751-9020,37000,2025,1.548,FALSE,TRUE,FALSE,
LUNG CANCER,LUNG CANCER,0169-5002,1872-8332,37000,2025,1.547,TRUE,FALSE,FALSE,
APPL COMPUT HARMON A,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,1063-5203,1096-603X,37000,2025,1.547,TRUE,FALSE,FALSE,
J CELL SCI,JOURNAL OF CELL SCIENCE,0021-9533,1477-9137,37000,2025,1.545,TRUE,FALSE,FALSE,
J COMPUT GRAPH STAT,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,1061-8600,1537-2715,37000,2025,1.545,TRUE,FALSE,FALSE,
IEEE WIREL COMMUN LE,IEEE Wireless Communications Letters,2162-2337,2162-2345,37000,2025,1.545,TRUE,FALSE,FALSE,
REV ESP CARDIOL,REVISTA ESPANOLA DE CARDIOLOGIA,,1885-5857,37000,2025,1.545,TRUE,FALSE,FALSE,
J ARTIF INTELL RES,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1076-9757,1943-5037,37000,2025,1.543,TRUE,FALSE,FALSE,
AGING DIS,Aging and Disease,2152-5250,2152-5250,37000,2025,1.542,TRUE,FALSE,FALSE,
BIOFABRICATION,Biofabrication,1758-5082,1758-5090,37000,2025,1.541,TRUE,FALSE,FALSE,
COMPET CHANG,Competition & Change,1024-5294,1477-2221,37000,2025,1.541,FALSE,TRUE,FALSE,
ARTIF INTELL-AMST,ARTIFICIAL INTELLIGENCE,0004-3702,1872-7921,37000,2025,1.54,TRUE,FALSE,FALSE,
S EUR SOC POLIT,South European Society and Politics,1360-8746,1743-9612,37000,2025,1.54,FALSE,TRUE,FALSE,
MATER TODAY ENERGY,Materials Today Energy,2468-6069,2468-6069,37000,2025,1.54,TRUE,FALSE,FALSE,
QUAL RES,Qualitative Research,1468-7941,1741-3109,37000,2025,1.539,FALSE,TRUE,FALSE,
THER ADV NEUROL DISO,Therapeutic Advances in Neurological Disorders,1756-2856,1756-2864,37000,2025,1.539,TRUE,FALSE,FALSE,
PHOTOACOUSTICS,Photoacoustics,2213-5979,2213-5979,37000,2025,1.539,TRUE,FALSE,FALSE,
WIRES MECH DIS,WIREs Mechanisms of Disease,2692-9368,2692-9368,37000,2025,1.539,TRUE,FALSE,FALSE,
IND RELAT,INDUSTRIAL RELATIONS,0019-8676,1468-232X,37000,2025,1.539,FALSE,TRUE,FALSE,
CLIN NUCL MED,CLINICAL NUCLEAR MEDICINE,0363-9762,1536-0229,37000,2025,1.539,TRUE,FALSE,FALSE,
INTERNET RES,Internet Research,1066-2243,1066-2243,37000,2025,1.539,TRUE,TRUE,FALSE,
AIDS PATIENT CARE ST,AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,37000,2025,1.539,TRUE,TRUE,FALSE,
TECHNOMETRICS,TECHNOMETRICS,0040-1706,1537-2723,37000,2025,1.538,TRUE,FALSE,FALSE,
GENES DIS,Genes & Diseases,2352-4820,2352-3042,37000,2025,1.537,TRUE,FALSE,FALSE,
J GEOPHYS RES-SOL EA,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2169-9313,2169-9356,37000,2025,1.536,TRUE,FALSE,FALSE,
KNOWL-BASED SYST,KNOWLEDGE-BASED SYSTEMS,0950-7051,1872-7409,37000,2025,1.536,TRUE,FALSE,FALSE,
INT J DRUG POLICY,INTERNATIONAL JOURNAL OF DRUG POLICY,0955-3959,1873-4758,37000,2025,1.535,FALSE,TRUE,FALSE,
J COSMOL ASTROPART P,Journal of Cosmology and Astroparticle Physics,1475-7516,1475-7516,37000,2025,1.535,TRUE,FALSE,FALSE,
DNA REPAIR,DNA REPAIR,1568-7864,1568-7856,37000,2025,1.535,TRUE,FALSE,FALSE,
PHILOS COMPASS,Philosophy Compass,,1747-9991,37000,2025,1.535,FALSE,FALSE,TRUE,
INT J SOC RES METHOD,International Journal of Social Research Methodology,1364-5579,1464-5300,37000,2025,1.534,FALSE,TRUE,FALSE,
POLIT GENDER,Politics & Gender,1743-923X,1743-9248,37000,2025,1.534,FALSE,TRUE,FALSE,
WATER RES X,Water Research X,,2589-9147,37000,2025,1.534,TRUE,FALSE,FALSE,
EUR J IMMUNOL,EUROPEAN JOURNAL OF IMMUNOLOGY,0014-2980,1521-4141,37000,2025,1.534,TRUE,FALSE,FALSE,
J RES SCI TEACH,JOURNAL OF RESEARCH IN SCIENCE TEACHING,0022-4308,1098-2736,37000,2025,1.534,FALSE,TRUE,FALSE,
INT J EQUITY HEALTH,International Journal for Equity in Health,,1475-9276,37000,2025,1.533,FALSE,TRUE,FALSE,
EUR J PSYCHOL APPL L,European Journal of Psychology Applied to Legal Context,1889-1861,1989-4007,37000,2025,1.532,FALSE,TRUE,FALSE,
KOREAN J ANESTHESIOL,Korean Journal of Anesthesiology,2005-6419,2005-7563,37000,2025,1.532,TRUE,FALSE,FALSE,
ECON HIST REV,ECONOMIC HISTORY REVIEW,0013-0117,1468-0289,37000,2025,1.532,FALSE,TRUE,TRUE,
MAMMAL REV,MAMMAL REVIEW,0305-1838,1365-2907,37000,2025,1.531,TRUE,FALSE,FALSE,
LINGUIST INQ,LINGUISTIC INQUIRY,0024-3892,1530-9150,37000,2025,1.53,FALSE,TRUE,TRUE,
WATER RESOUR RES,WATER RESOURCES RESEARCH,0043-1397,1944-7973,37000,2025,1.53,TRUE,FALSE,FALSE,
REV FISH BIOL FISHER,REVIEWS IN FISH BIOLOGY AND FISHERIES,0960-3166,1573-5184,37000,2025,1.53,TRUE,FALSE,FALSE,
CHILD MALTREATMENT,CHILD MALTREATMENT,1077-5595,1552-6119,37000,2025,1.529,FALSE,TRUE,FALSE,
CELL MOL BIOL LETT,CELLULAR & MOLECULAR BIOLOGY LETTERS,1425-8153,1689-1392,37000,2025,1.529,TRUE,FALSE,FALSE,
J AM COLL RADIOL,Journal of the American College of Radiology,1546-1440,1558-349X,37000,2025,1.528,TRUE,FALSE,FALSE,
MED TEACH,MEDICAL TEACHER,0142-159X,1466-187X,37000,2025,1.528,TRUE,FALSE,FALSE,
TECHNOL SOC,TECHNOLOGY IN SOCIETY,0160-791X,1879-3274,37000,2025,1.527,FALSE,TRUE,FALSE,
J AFFECT DISORDERS,JOURNAL OF AFFECTIVE DISORDERS,0165-0327,1573-2517,37000,2025,1.527,TRUE,TRUE,FALSE,
ASSESSMENT,ASSESSMENT,1073-1911,1552-3489,37000,2025,1.524,FALSE,TRUE,FALSE,
HEALTH PSYCHOL,HEALTH PSYCHOLOGY,0278-6133,1930-7810,37000,2025,1.523,TRUE,TRUE,FALSE,
ARTIF INTELL MED,Artificial Intelligence in Medicine,0933-3657,1873-2860,37000,2025,1.523,TRUE,FALSE,FALSE,
ELECTRON MARK,Electronic Markets,1019-6781,1422-8890,37000,2025,1.523,FALSE,TRUE,FALSE,
J INT MANAG,Journal of International Management,1075-4253,1873-0620,37000,2025,1.522,FALSE,TRUE,FALSE,
DRUG DISCOV TODAY,DRUG DISCOVERY TODAY,1359-6446,1878-5832,37000,2025,1.522,TRUE,FALSE,FALSE,
ATHEROSCLEROSIS,ATHEROSCLEROSIS,0021-9150,1879-1484,37000,2025,1.52,TRUE,FALSE,FALSE,
J MASS COMMUN Q,JOURNALISM & MASS COMMUNICATION QUARTERLY,1077-6990,2161-430X,37000,2025,1.519,FALSE,TRUE,FALSE,
CLIN ORAL IMPLAN RES,CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,37000,2025,1.517,TRUE,FALSE,FALSE,
STAT METHODS MED RES,STATISTICAL METHODS IN MEDICAL RESEARCH,0962-2802,1477-0334,37000,2025,1.517,TRUE,FALSE,FALSE,
J LAW BIOSCI,Journal of Law and the Biosciences,2053-9711,2053-9711,37000,2025,1.517,TRUE,TRUE,FALSE,
RADIOTHER ONCOL,RADIOTHERAPY AND ONCOLOGY,0167-8140,1879-0887,37000,2025,1.516,TRUE,FALSE,FALSE,
MATER DESIGN,MATERIALS & DESIGN,0264-1275,1873-4197,37000,2025,1.516,TRUE,FALSE,FALSE,
ENVIRON POLLUT,ENVIRONMENTAL POLLUTION,0269-7491,1873-6424,37000,2025,1.516,TRUE,FALSE,FALSE,
J ADDICT MED,Journal of Addiction Medicine,1932-0620,1935-3227,37000,2025,1.515,TRUE,FALSE,FALSE,
EUR UROL FOCUS,European Urology Focus,,2405-4569,37000,2025,1.515,TRUE,FALSE,FALSE,
STEM CELL RES THER,Stem Cell Research & Therapy,,1757-6512,37000,2025,1.515,TRUE,FALSE,FALSE,
SOC MOVEMENT STUD,Social Movement Studies,1474-2837,1474-2829,37000,2025,1.514,FALSE,TRUE,FALSE,
LANDSLIDES,Landslides,1612-510X,1612-5118,37000,2025,1.514,TRUE,FALSE,FALSE,
J HIGH EDUC-UK,JOURNAL OF HIGHER EDUCATION,0022-1546,1538-4640,37000,2025,1.514,FALSE,TRUE,FALSE,
BUS ETHICS Q,BUSINESS ETHICS QUARTERLY,1052-150X,2153-3326,37000,2025,1.513,FALSE,TRUE,FALSE,
BIOSCI MICROB FOOD H,Bioscience of Microbiota Food and Health,2186-6953,2186-3342,37000,2025,1.513,TRUE,FALSE,FALSE,
ASTROBIOLOGY,ASTROBIOLOGY,1531-1074,1557-8070,37000,2025,1.512,TRUE,FALSE,FALSE,
INT J MIN SCI TECHNO,International Journal of Mining Science and Technology,2095-2686,2212-6066,37000,2025,1.512,TRUE,FALSE,FALSE,
CLIN TRANSL IMMUNOL,Clinical & Translational Immunology,,2050-0068,37000,2025,1.512,TRUE,FALSE,FALSE,
T I BRIT GEOGR,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,0020-2754,1475-5661,37000,2025,1.512,FALSE,TRUE,FALSE,
WORLD BANK ECON REV,WORLD BANK ECONOMIC REVIEW,0258-6770,1564-698X,37000,2025,1.512,FALSE,TRUE,FALSE,
BRIT J PHILOS SCI,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,0007-0882,1464-3537,37000,2025,1.511,TRUE,TRUE,TRUE,
LAW SOC REV,LAW & SOCIETY REVIEW,0023-9216,1540-5893,37000,2025,1.511,FALSE,TRUE,FALSE,
NEUROBIOL STRESS,Neurobiology of Stress,2352-2895,2352-2895,37000,2025,1.511,TRUE,FALSE,FALSE,
J RURAL HEALTH,JOURNAL OF RURAL HEALTH,0890-765X,1748-0361,37000,2025,1.51,TRUE,TRUE,FALSE,
EUR J NEUROL,EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,1468-1331,37000,2025,1.509,TRUE,FALSE,FALSE,
COGN BEHAV THERAPY,COGNITIVE BEHAVIOUR THERAPY,1650-6073,1651-2316,37000,2025,1.508,FALSE,TRUE,FALSE,
SOC PSYCH PSYCH EPID,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,0933-7954,1433-9285,37000,2025,1.508,TRUE,TRUE,FALSE,
J DESTIN MARK MANAGE,Journal of Destination Marketing & Management,2212-571X,2212-5752,37000,2025,1.507,FALSE,TRUE,FALSE,
INT J APPL EARTH OBS,International Journal of Applied Earth Observation and Geoinformation,1569-8432,1872-826X,37000,2025,1.506,TRUE,FALSE,FALSE,
MEDIA CULT SOC,MEDIA CULTURE & SOCIETY,0163-4437,1460-3675,37000,2025,1.506,FALSE,TRUE,FALSE,
CELL PROLIFERAT,CELL PROLIFERATION,0960-7722,1365-2184,37000,2025,1.506,TRUE,FALSE,FALSE,
ALGEBR NUMBER THEORY,Algebra & Number Theory,1937-0652,1944-7833,37000,2025,1.505,TRUE,FALSE,FALSE,
IEEE J BIOMED HEALTH,IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,37000,2025,1.505,TRUE,FALSE,FALSE,
IEEE T EM TOP COMP I,IEEE Transactions on Emerging Topics in Computational Intelligence,2471-285X,2471-285X,37000,2025,1.504,TRUE,FALSE,FALSE,
J EXP BOT,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1460-2431,37000,2025,1.504,TRUE,FALSE,FALSE,
J MONEY CREDIT BANK,JOURNAL OF MONEY CREDIT AND BANKING,0022-2879,1538-4616,37000,2025,1.504,FALSE,TRUE,FALSE,
CONFLICT MANAG PEACE,CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942,1549-9219,37000,2025,1.504,FALSE,TRUE,FALSE,
AGRON SUSTAIN DEV,Agronomy for Sustainable Development,1774-0746,1773-0155,37000,2025,1.503,TRUE,FALSE,FALSE,
ANN AM ACAD POLIT SS,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,0002-7162,1552-3349,37000,2025,1.502,FALSE,TRUE,FALSE,
INT STAT REV,INTERNATIONAL STATISTICAL REVIEW,0306-7734,1751-5823,37000,2025,1.5,TRUE,FALSE,FALSE,
TOP COGN SCI,Topics in Cognitive Science,1756-8757,1756-8765,37000,2025,1.5,FALSE,TRUE,FALSE,
ISCIENCE,iScience,,2589-0042,37000,2025,1.5,TRUE,FALSE,FALSE,
TECTONICS,TECTONICS,0278-7407,1944-9194,36926,2025,1.497,TRUE,FALSE,FALSE,
EXCEPT CHILDREN,EXCEPTIONAL CHILDREN,0014-4029,2163-5560,36901,2025,1.496,FALSE,TRUE,FALSE,
CARBON,CARBON,0008-6223,1873-3891,36877,2025,1.495,TRUE,FALSE,FALSE,
PHILOS PHENOMEN RES,PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,0031-8205,1933-1592,36877,2025,1.495,FALSE,FALSE,TRUE,
REGION ANESTH PAIN M,REGIONAL ANESTHESIA AND PAIN MEDICINE,1098-7339,1532-8651,36877,2025,1.495,TRUE,FALSE,FALSE,
INT J HEALTH POLICY,International Journal of Health Policy and Management,,2322-5939,36852,2025,1.494,TRUE,TRUE,FALSE,
HEADACHE,HEADACHE,0017-8748,1526-4610,36828,2025,1.493,TRUE,FALSE,FALSE,
J RES MATH EDUC,JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,0021-8251,1945-2306,36828,2025,1.493,FALSE,TRUE,FALSE,
SCI TOTAL ENVIRON,Science of The Total Environment,0048-9697,1879-1026,36828,2025,1.493,TRUE,FALSE,FALSE,
INT REV PSYCHIATR,INTERNATIONAL REVIEW OF PSYCHIATRY,0954-0261,1369-1627,36828,2025,1.493,FALSE,TRUE,FALSE,
POLIT RES QUART,POLITICAL RESEARCH QUARTERLY,1065-9129,1938-274X,36803,2025,1.492,FALSE,TRUE,FALSE,
CURR RHEUMATOL REP,Current Rheumatology Reports,1523-3774,1534-6307,36803,2025,1.492,TRUE,FALSE,FALSE,
SUSTAIN MATER TECHNO,Sustainable Materials and Technologies,2214-9937,2214-9937,36778,2025,1.491,TRUE,FALSE,FALSE,
J INVEST ALLERG CLIN,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068,1698-0808,36754,2025,1.49,TRUE,FALSE,FALSE,
INFORM SOC,INFORMATION SOCIETY,0197-2243,1087-6537,36729,2025,1.489,FALSE,TRUE,FALSE,
